instrument_name,funding_rate,funding_time
GLM-USDT-SWAP,-0.0003939252829196,1764892800000
GLM-USDT-SWAP,-0.000140059925687,1764907200000
GLM-USDT-SWAP,0.0000344970200722,1764921600000
GLM-USDT-SWAP,-0.0000401591223427,1764936000000
GMT-USDT-SWAP,0.0001,1764864000000
GMT-USDT-SWAP,0.0000558396853023,1764892800000
GMT-USDT-SWAP,0.0001,1764921600000
GMX-USDT-SWAP,0.0001,1764864000000
GMX-USDT-SWAP,0.0000734880197752,1764892800000
GMX-USDT-SWAP,0.0001,1764921600000
GOAT-USDT-SWAP,0.00005,1764864000000
GOAT-USDT-SWAP,0.00005,1764878400000
GOAT-USDT-SWAP,0.00005,1764892800000
GOAT-USDT-SWAP,-0.0001783106696825,1764907200000
GOAT-USDT-SWAP,0.00005,1764921600000
GOAT-USDT-SWAP,-0.0001101207976715,1764936000000
GPS-USDT-SWAP,-0.0003167456412937,1764864000000
GPS-USDT-SWAP,0.00005,1764878400000
GPS-USDT-SWAP,0.00005,1764892800000
GPS-USDT-SWAP,0.00005,1764907200000
GPS-USDT-SWAP,0.00005,1764921600000
GPS-USDT-SWAP,0.00005,1764936000000
GRASS-USDT-SWAP,-0.0001681015218442,1764864000000
GRASS-USDT-SWAP,0.00005,1764878400000
GRASS-USDT-SWAP,0.00005,1764892800000
GRASS-USDT-SWAP,0.00005,1764907200000
GRASS-USDT-SWAP,0.00005,1764921600000
GRASS-USDT-SWAP,-0.0000152000403129,1764936000000
GRT-USDT-SWAP,0.0001,1764864000000
GRT-USDT-SWAP,0.0000329137651671,1764892800000
GRT-USDT-SWAP,0.0000666246511326,1764921600000
H-USDT-SWAP,-0.0100728671982676,1764864000000
H-USDT-SWAP,-0.0085217497510481,1764878400000
H-USDT-SWAP,-0.0098545362221606,1764892800000
H-USDT-SWAP,-0.0057248508194175,1764907200000
H-USDT-SWAP,-0.0020764725740533,1764921600000
H-USDT-SWAP,-0.0022335175946439,1764936000000
HBAR-USDT-SWAP,-0.0000187226965935,1764864000000
HBAR-USDT-SWAP,-0.0000023674125298,1764892800000
HBAR-USDT-SWAP,0.0000162453063048,1764921600000
HMSTR-USDT-SWAP,0.00005,1764864000000
HMSTR-USDT-SWAP,0.00005,1764878400000
HMSTR-USDT-SWAP,0.00005,1764892800000
HMSTR-USDT-SWAP,0.0000317441364361,1764907200000
HMSTR-USDT-SWAP,0.00005,1764921600000
HMSTR-USDT-SWAP,0.00005,1764936000000
HOME-USDT-SWAP,0.00005,1764864000000
HOME-USDT-SWAP,0.00005,1764878400000
HOME-USDT-SWAP,0.00005,1764892800000
HOME-USDT-SWAP,0.00005,1764907200000
HOME-USDT-SWAP,0.00005,1764921600000
HOME-USDT-SWAP,0.00005,1764936000000
HUMA-USDT-SWAP,0.00005,1764864000000
HUMA-USDT-SWAP,0.00005,1764878400000
